GO-Term   	  Count	Name                                                                                                                                                                                       	Category
GO:1900017	      6	positive regulation of cytokine production involved in inflammatory response                                                                                                               	biological_process
GO:0044331	      6	cell-cell adhesion mediated by cadherin                                                                                                                                                    	biological_process
GO:0044322	      6	endoplasmic reticulum quality control compartment                                                                                                                                          	cellular_component
GO:0002089	      6	lens morphogenesis in camera-type eye                                                                                                                                                      	biological_process
GO:0036158	      6	outer dynein arm assembly                                                                                                                                                                  	biological_process
GO:0036120	      6	cellular response to platelet-derived growth factor stimulus                                                                                                                               	biological_process
GO:0016050	      6	vesicle organization                                                                                                                                                                       	biological_process
GO:0004550	      6	nucleoside diphosphate kinase activity                                                                                                                                                     	molecular_function
GO:0061351	      6	neural precursor cell proliferation                                                                                                                                                        	biological_process
GO:0021960	      6	anterior commissure morphogenesis                                                                                                                                                          	biological_process
GO:0015347	      6	sodium-independent organic anion transmembrane transporter activity                                                                                                                        	molecular_function
GO:0001849	      6	complement component C1q complex binding                                                                                                                                                   	molecular_function
GO:0004971	      6	AMPA glutamate receptor activity                                                                                                                                                           	molecular_function
GO:0045724	      6	positive regulation of cilium assembly                                                                                                                                                     	biological_process
GO:0000028	      6	ribosomal small subunit assembly                                                                                                                                                           	biological_process
GO:0002091	      6	negative regulation of receptor internalization                                                                                                                                            	biological_process
GO:0008140	      6	cAMP response element binding protein binding                                                                                                                                              	molecular_function
GO:0016255	      6	attachment of GPI anchor to protein                                                                                                                                                        	biological_process
GO:0032793	      6	positive regulation of CREB transcription factor activity                                                                                                                                  	biological_process
GO:0032233	      6	positive regulation of actin filament bundle assembly                                                                                                                                      	biological_process
GO:0008373	      6	sialyltransferase activity                                                                                                                                                                 	molecular_function
GO:0098703	      6	calcium ion import across plasma membrane                                                                                                                                                  	biological_process
GO:0035646	      6	endosome to melanosome transport                                                                                                                                                           	biological_process
GO:0007603	      6	phototransduction, visible light                                                                                                                                                           	biological_process
GO:0009253	      6	peptidoglycan catabolic process                                                                                                                                                            	biological_process
GO:0004089	      6	carbonate dehydratase activity                                                                                                                                                             	molecular_function
GO:1902895	      6	positive regulation of miRNA transcription                                                                                                                                                 	biological_process
GO:0043195	      6	terminal bouton                                                                                                                                                                            	cellular_component
GO:0051787	      6	misfolded protein binding                                                                                                                                                                  	molecular_function
GO:0031941	      6	filamentous actin                                                                                                                                                                          	cellular_component
GO:0006650	      6	glycerophospholipid metabolic process                                                                                                                                                      	biological_process
GO:0035727	      6	lysophosphatidic acid binding                                                                                                                                                              	molecular_function
GO:0045727	      6	positive regulation of translation                                                                                                                                                         	biological_process
GO:0000462	      6	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)                                                                                                   	biological_process
GO:0036465	      6	synaptic vesicle recycling                                                                                                                                                                 	biological_process
GO:0070402	      6	NADPH binding                                                                                                                                                                              	molecular_function
GO:0019430	      6	removal of superoxide radicals                                                                                                                                                             	biological_process
GO:0048490	      6	anterograde synaptic vesicle transport                                                                                                                                                     	biological_process
GO:0048007	      6	antigen processing and presentation, exogenous lipid antigen via MHC class Ib                                                                                                              	biological_process
GO:0061744	      6	motor behavior                                                                                                                                                                             	biological_process
GO:0045159	      6	myosin II binding                                                                                                                                                                          	molecular_function
GO:0034452	      6	dynactin binding                                                                                                                                                                           	molecular_function
GO:0048872	      6	homeostasis of number of cells                                                                                                                                                             	biological_process
GO:0044458	      6	motile cilium assembly                                                                                                                                                                     	biological_process
GO:0050915	      6	sensory perception of sour taste                                                                                                                                                           	biological_process
GO:0050769	      6	positive regulation of neurogenesis                                                                                                                                                        	biological_process
GO:0006751	      6	glutathione catabolic process                                                                                                                                                              	biological_process
GO:0072546	      6	EMC complex                                                                                                                                                                                	cellular_component
GO:0005222	      6	intracellularly cAMP-activated cation channel activity                                                                                                                                     	molecular_function
GO:0042476	      6	odontogenesis                                                                                                                                                                              	biological_process
GO:0031648	      6	protein destabilization                                                                                                                                                                    	biological_process
GO:0016747	      6	acyltransferase activity, transferring groups other than amino-acyl groups                                                                                                                 	molecular_function
GO:0003988	      6	acetyl-CoA C-acyltransferase activity                                                                                                                                                      	molecular_function
GO:0042592	      6	homeostatic process                                                                                                                                                                        	biological_process
GO:2001046	      6	positive regulation of integrin-mediated signaling pathway                                                                                                                                 	biological_process
GO:0016045	      6	detection of bacterium                                                                                                                                                                     	biological_process
GO:0042301	      6	phosphate ion binding                                                                                                                                                                      	molecular_function
GO:0010181	      6	FMN binding                                                                                                                                                                                	molecular_function
GO:0030515	      6	snoRNA binding                                                                                                                                                                             	molecular_function
GO:0071897	      6	DNA biosynthetic process                                                                                                                                                                   	biological_process
GO:0070372	      6	regulation of ERK1 and ERK2 cascade                                                                                                                                                        	biological_process
GO:0015272	      6	ATP-activated inward rectifier potassium channel activity                                                                                                                                  	molecular_function
GO:0007019	      6	microtubule depolymerization                                                                                                                                                               	biological_process
GO:0050777	      6	negative regulation of immune response                                                                                                                                                     	biological_process
GO:2001032	      6	regulation of double-strand break repair via nonhomologous end joining                                                                                                                     	biological_process
GO:0021510	      6	spinal cord development                                                                                                                                                                    	biological_process
GO:0070628	      6	proteasome binding                                                                                                                                                                         	molecular_function
GO:0042462	      6	eye photoreceptor cell development                                                                                                                                                         	biological_process
GO:0031093	      6	platelet alpha granule lumen                                                                                                                                                               	cellular_component
GO:0071168	      6	protein localization to chromatin                                                                                                                                                          	biological_process
GO:0002827	      6	positive regulation of T-helper 1 type immune response                                                                                                                                     	biological_process
GO:0099170	      6	postsynaptic modulation of chemical synaptic transmission                                                                                                                                  	biological_process
GO:0009435	      6	NAD biosynthetic process                                                                                                                                                                   	biological_process
GO:0034116	      6	positive regulation of heterotypic cell-cell adhesion                                                                                                                                      	biological_process
GO:0004659	      6	prenyltransferase activity                                                                                                                                                                 	molecular_function
GO:0006826	      6	iron ion transport                                                                                                                                                                         	biological_process
GO:1990138	      6	neuron projection extension                                                                                                                                                                	biological_process
GO:0006390	      6	mitochondrial transcription                                                                                                                                                                	biological_process
GO:0045259	      6	proton-transporting ATP synthase complex                                                                                                                                                   	cellular_component
GO:0001848	      6	complement binding                                                                                                                                                                         	molecular_function
GO:0030943	      6	mitochondrion targeting sequence binding                                                                                                                                                   	molecular_function
GO:0003161	      6	cardiac conduction system development                                                                                                                                                      	biological_process
GO:0097431	      6	mitotic spindle pole                                                                                                                                                                       	cellular_component
GO:0030889	      6	negative regulation of B cell proliferation                                                                                                                                                	biological_process
GO:0008631	      6	intrinsic apoptotic signaling pathway in response to oxidative stress                                                                                                                      	biological_process
GO:0022900	      6	electron transport chain                                                                                                                                                                   	biological_process
GO:0097730	      6	non-motile cilium                                                                                                                                                                          	cellular_component
GO:0032754	      6	positive regulation of interleukin-5 production                                                                                                                                            	biological_process
GO:0015171	      6	amino acid transmembrane transporter activity                                                                                                                                              	molecular_function
GO:0009058	      6	biosynthetic process                                                                                                                                                                       	biological_process
GO:0016811	      6	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides                                                                                                    	molecular_function
GO:0002752	      6	cell surface pattern recognition receptor signaling pathway                                                                                                                                	biological_process
GO:0006516	      6	glycoprotein catabolic process                                                                                                                                                             	biological_process
GO:0060575	      6	intestinal epithelial cell differentiation                                                                                                                                                 	biological_process
GO:0001945	      6	lymph vessel development                                                                                                                                                                   	biological_process
GO:0140584	      6	chromatin extrusion motor activity                                                                                                                                                         	molecular_function
GO:0042129	      6	regulation of T cell proliferation                                                                                                                                                         	biological_process
GO:0009642	      6	response to light intensity                                                                                                                                                                	biological_process
GO:0043237	      6	laminin-1 binding                                                                                                                                                                          	molecular_function
GO:0030099	      6	myeloid cell differentiation                                                                                                                                                               	biological_process
GO:0010744	      6	positive regulation of macrophage derived foam cell differentiation                                                                                                                        	biological_process
GO:0035773	      6	insulin secretion involved in cellular response to glucose stimulus                                                                                                                        	biological_process
GO:0071108	      6	protein K48-linked deubiquitination                                                                                                                                                        	biological_process
GO:0019363	      6	pyridine nucleotide biosynthetic process                                                                                                                                                   	biological_process
GO:0060048	      6	cardiac muscle contraction                                                                                                                                                                 	biological_process
GO:2000060	      6	positive regulation of ubiquitin-dependent protein catabolic process                                                                                                                       	biological_process
GO:2001240	      6	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand                                                                                                          	biological_process
GO:0055038	      6	recycling endosome membrane                                                                                                                                                                	cellular_component
GO:0001586	      6	Gi/o-coupled serotonin receptor activity                                                                                                                                                   	molecular_function
GO:0019827	      6	stem cell population maintenance                                                                                                                                                           	biological_process
GO:0030368	      6	interleukin-17 receptor activity                                                                                                                                                           	molecular_function
GO:0001875	      6	lipopolysaccharide immune receptor activity                                                                                                                                                	molecular_function
GO:0010971	      6	positive regulation of G2/M transition of mitotic cell cycle                                                                                                                               	biological_process
GO:0030277	      6	maintenance of gastrointestinal epithelium                                                                                                                                                 	biological_process
GO:0007198	      6	adenylate cyclase-inhibiting serotonin receptor signaling pathway                                                                                                                          	biological_process
GO:0032426	      6	stereocilium tip                                                                                                                                                                           	cellular_component
GO:0048706	      6	embryonic skeletal system development                                                                                                                                                      	biological_process
GO:0120163	      6	negative regulation of cold-induced thermogenesis                                                                                                                                          	biological_process
GO:0001961	      6	positive regulation of cytokine-mediated signaling pathway                                                                                                                                 	biological_process
GO:0034056	      6	estrogen response element binding                                                                                                                                                          	molecular_function
GO:0006029	      6	proteoglycan metabolic process                                                                                                                                                             	biological_process
GO:0061098	      6	positive regulation of protein tyrosine kinase activity                                                                                                                                    	biological_process
GO:2000786	      6	positive regulation of autophagosome assembly                                                                                                                                              	biological_process
GO:0016709	      6	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen                       	molecular_function
GO:1900745	      6	positive regulation of p38MAPK cascade                                                                                                                                                     	biological_process
GO:0071711	      6	basement membrane organization                                                                                                                                                             	biological_process
GO:0006270	      6	DNA replication initiation                                                                                                                                                                 	biological_process
GO:0045648	      6	positive regulation of erythrocyte differentiation                                                                                                                                         	biological_process
GO:0030548	      6	acetylcholine receptor regulator activity                                                                                                                                                  	molecular_function
GO:0001056	      6	RNA polymerase III activity                                                                                                                                                                	molecular_function
GO:0030325	      6	adrenal gland development                                                                                                                                                                  	biological_process
GO:0000422	      6	autophagy of mitochondrion                                                                                                                                                                 	biological_process
GO:0048787	      6	presynaptic active zone membrane                                                                                                                                                           	cellular_component
GO:0030595	      6	leukocyte chemotaxis                                                                                                                                                                       	biological_process
GO:0061024	      6	membrane organization                                                                                                                                                                      	biological_process
GO:0032735	      6	positive regulation of interleukin-12 production                                                                                                                                           	biological_process
GO:0042573	      6	retinoic acid metabolic process                                                                                                                                                            	biological_process
GO:0035092	      6	sperm DNA condensation                                                                                                                                                                     	biological_process
GO:0050664	      6	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor                                                                                                                             	molecular_function
GO:0045198	      6	establishment of epithelial cell apical/basal polarity                                                                                                                                     	biological_process
GO:0038084	      6	vascular endothelial growth factor signaling pathway                                                                                                                                       	biological_process
GO:0008970	      6	phospholipase A1 activity                                                                                                                                                                  	molecular_function
GO:0090734	      6	site of DNA damage                                                                                                                                                                         	cellular_component
GO:0006690	      6	icosanoid metabolic process                                                                                                                                                                	biological_process
GO:0032465	      6	regulation of cytokinesis                                                                                                                                                                  	biological_process
GO:0005523	      6	tropomyosin binding                                                                                                                                                                        	molecular_function
GO:0035019	      6	somatic stem cell population maintenance                                                                                                                                                   	biological_process
GO:0007250	      6	activation of NF-kappaB-inducing kinase activity                                                                                                                                           	biological_process
GO:0042542	      6	response to hydrogen peroxide                                                                                                                                                              	biological_process
GO:0015810	      6	aspartate transmembrane transport                                                                                                                                                          	biological_process
GO:0000779	      6	condensed chromosome, centromeric region                                                                                                                                                   	cellular_component
GO:0034450	      6	ubiquitin-ubiquitin ligase activity                                                                                                                                                        	molecular_function
GO:0070006	      6	metalloaminopeptidase activity                                                                                                                                                             	molecular_function
GO:0010634	      6	positive regulation of epithelial cell migration                                                                                                                                           	biological_process
GO:0033198	      6	response to ATP                                                                                                                                                                            	biological_process
GO:0030686	      6	90S preribosome                                                                                                                                                                            	cellular_component
GO:0031929	      6	TOR signaling                                                                                                                                                                              	biological_process
GO:0047372	      6	monoacylglycerol lipase activity                                                                                                                                                           	molecular_function
GO:0004303	      6	estradiol 17-beta-dehydrogenase [NAD(P)+] activity                                                                                                                                         	molecular_function
GO:0001956	      6	positive regulation of neurotransmitter secretion                                                                                                                                          	biological_process
GO:0005391	      6	P-type sodium:potassium-exchanging transporter activity                                                                                                                                    	molecular_function
GO:0051930	      6	regulation of sensory perception of pain                                                                                                                                                   	biological_process
GO:0098742	      6	cell-cell adhesion via plasma-membrane adhesion molecules                                                                                                                                  	biological_process
GO:0072332	      6	intrinsic apoptotic signaling pathway by p53 class mediator                                                                                                                                	biological_process
GO:0040008	      6	regulation of growth                                                                                                                                                                       	biological_process
GO:0043031	      6	negative regulation of macrophage activation                                                                                                                                               	biological_process
GO:0045332	      6	phospholipid translocation                                                                                                                                                                 	biological_process
GO:0004439	      6	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity                                                                                                                               	molecular_function
GO:0006699	      6	bile acid biosynthetic process                                                                                                                                                             	biological_process
GO:0042622	      6	photoreceptor outer segment membrane                                                                                                                                                       	cellular_component
GO:0008379	      6	thioredoxin peroxidase activity                                                                                                                                                            	molecular_function
GO:0005168	      6	neurotrophin TRKA receptor binding                                                                                                                                                         	molecular_function
GO:0006287	      6	base-excision repair, gap-filling                                                                                                                                                          	biological_process
GO:0045745	      6	positive regulation of G protein-coupled receptor signaling pathway                                                                                                                        	biological_process
GO:0005253	      6	monoatomic anion channel activity                                                                                                                                                          	molecular_function
GO:0008046	      6	axon guidance receptor activity                                                                                                                                                            	molecular_function
GO:0004062	      6	aryl sulfotransferase activity                                                                                                                                                             	molecular_function
GO:0015250	      6	water channel activity                                                                                                                                                                     	molecular_function
GO:0050786	      6	RAGE receptor binding                                                                                                                                                                      	molecular_function
GO:0010526	      6	transposable element silencing                                                                                                                                                             	biological_process
GO:0016328	      6	lateral plasma membrane                                                                                                                                                                    	cellular_component
GO:0006983	      6	ER overload response                                                                                                                                                                       	biological_process
GO:0000794	      6	condensed nuclear chromosome                                                                                                                                                               	cellular_component
GO:0140042	      6	lipid droplet formation                                                                                                                                                                    	biological_process
GO:0007098	      6	centrosome cycle                                                                                                                                                                           	biological_process
GO:0001921	      6	positive regulation of receptor recycling                                                                                                                                                  	biological_process
GO:0070840	      6	dynein complex binding                                                                                                                                                                     	molecular_function
GO:0015143	      6	urate transmembrane transporter activity                                                                                                                                                   	molecular_function
GO:0008582	      6	regulation of synaptic assembly at neuromuscular junction                                                                                                                                  	biological_process
GO:0034142	      6	toll-like receptor 4 signaling pathway                                                                                                                                                     	biological_process
GO:0045275	      6	respiratory chain complex III                                                                                                                                                              	cellular_component
GO:0035577	      6	azurophil granule membrane                                                                                                                                                                 	cellular_component
GO:0045055	      6	regulated exocytosis                                                                                                                                                                       	biological_process
GO:0032813	      6	tumor necrosis factor receptor superfamily binding                                                                                                                                         	molecular_function
GO:0051298	      6	centrosome duplication                                                                                                                                                                     	biological_process
GO:0005854	      6	nascent polypeptide-associated complex                                                                                                                                                     	cellular_component
GO:0016849	      6	phosphorus-oxygen lyase activity                                                                                                                                                           	molecular_function
GO:0052695	      6	cellular glucuronidation                                                                                                                                                                   	biological_process
GO:0040014	      6	regulation of multicellular organism growth                                                                                                                                                	biological_process
GO:0016125	      6	sterol metabolic process                                                                                                                                                                   	biological_process
